模板组 ID,编号,表单名,路径,部门,entities,chain,basis
FG-process-version-01,GRSS-KF-JL-01,产品开发评审记录,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/产品开发部/产品开发评审记录.md,产品开发部,"ChangeEvent, ChangeVerificationRecord, Document, Employee, HazardAssessment, Inspection, Material, NonConformance, ProcessRecord, ProcessStep, Product",研发/变更,v3:研发版本
FG-quality-ccp-01,GRSS-KF-JL-02,产品操作规程,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/产品开发部/产品操作规程.md,产品开发部,"CCPPoint, Document, Employee, Inspection, ProcessStep, Product, Recipe",研发/变更,v3:CCP
FG-process-version-01,GRSS-KF-JL-03,产品更改申请表,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/产品开发部/产品更改申请表.md,产品开发部,"ChangeApproval, ChangeEvent, Document, Employee, Product",研发/变更,v3:研发版本
FG-master-product-01,GRSS-KF-JL-04,产品标签信息记录,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/产品开发部/产品标签信息记录.md,产品开发部,"Document, Employee, HazardAssessment, Product, Recipe",研发/变更,v3:产品主数据扩展
FG-master-product-01,GRSS-KF-JL-05,产品规格书,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/产品开发部/产品规格书/产品规格书.md,产品开发部,"Document, Employee, Inspection, Product, Recipe",研发/变更,v3:产品主数据扩展
FG-process-parameter-spec-01,GRSS-KF-JL-06,产品配方以及工艺参数,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/产品开发部/产品配方以及工艺参数.md,产品开发部,"Document, Employee, Material, ProcessStep, Product, Recipe",研发/变更,v3:工艺参数标准
FG-process-version-01,GRSS-KF-JL-07,产品验证记录表,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/产品开发部/产品验证记录表.md,产品开发部,"ChangeVerificationRecord, Document, Employee, HazardAssessment, Inspection, Material, ProcessStep, Product, Supplier",研发/变更,v3:研发版本
FG-process-step-01,GRSS-KF-JL-08,工艺流程图确认记录,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/产品开发部/工艺流程图确认记录.md,产品开发部,"ChangeVerificationRecord, Document, Employee, Location, Product, ProductionBatch",研发/变更,v3:工艺步骤
FG-process-version-01,GRSS-KF-JL-09,新产品开发申请书,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/产品开发部/新产品开发申请书.md,产品开发部,"Document, Employee, HazardAssessment, ProcessStep, Product",主数据/基础档案,v3:研发版本
FG-quality-ccp-01,GRSS-KF-JL-10,新产品开发计划书,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/产品开发部/新产品开发计划书.md,产品开发部,"CCPPoint, Document, HazardAssessment, Inspection, ProcessStep, Product, Recipe",研发/变更,v3:CCP
FG-process-version-01,GRSS-KF-JL-11,研发实验记录,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/产品开发部/研发实验记录.md,产品开发部,"Document, Employee, EnvironmentRecord, Inspection, MaterialLot, ProcessRecord, ProcessStep, Recipe",研发/变更,v3:研发版本
FG-batch-inventory-movement-01,GRSS-CC-JL-01,上车单,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/仓储组/上车单.md,仓储组,"Document, Employee, InventoryMovement, Product, ProductionBatch",仓储/库存,v3:库存流转
FG-quality-environment-01,GRSS-CC-JL-02,仓库单体空调内置过滤网清洗记录,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/仓储组/仓库单体空调内置过滤网清洗记录.md,仓储组,"Document, Employee, MaintenanceRecord",通用支撑,v3:环境卫生
FG-quality-environment-01,GRSS-CC-JL-03,仓库日常巡查表,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/仓储组/仓库日常巡查表.md,仓储组,"CorrectiveAction, Document, Employee, EnvironmentRecord",通用支撑,v3:entity EnvironmentRecord
FG-batch-ingredient-usage-01,GRSS-CC-JL-04,仓库领料单,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/仓储组/仓库领料单.md,仓储组,"Document, Employee, InventoryMovement, Material, MaterialLot",仓储/库存,v3:投料桥接
FG-batch-inventory-movement-01,GRSS-CC-JL-05,化学品仓登记领用表,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/仓储组/化学品仓登记领用表.md,仓储组,"Document, Employee, InventoryMovement, Material, StockCount",仓储/库存,v3:库存流转
FG-batch-inventory-movement-01,GRSS-CC-JL-06,原料标识卡,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/仓储组/原料标识卡.md,仓储组,"Document, Employee, InventoryMovement, Location, Material, MaterialInspection, MaterialLot, Supplier",仓储/库存,v3:库存流转
FG-quality-incoming-inspection-01,GRSS-CC-JL-07,原材料验收单,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/仓储组/原材料验收单.md,仓储组,"Document, Employee, Material, MaterialInspection, MaterialLot, Supplier",品质/检验,v3:entity MaterialInspection
FG-batch-inventory-movement-01,GRSS-CC-JL-08,废品出入库记录,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/仓储组/废品出入库记录.md,仓储组,"CorrectiveAction, Employee, InventoryMovement, WasteRecord",仓储/库存,v3:库存流转
FG-batch-finished-goods-01,GRSS-CC-JL-09,成品入库单,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/仓储组/成品入库单.md,仓储组,"Document, Employee, InventoryMovement, Location, ProcessStep, Product, ProductionBatch",仓储/库存,v3:成品入库
FG-batch-finished-goods-01,GRSS-CC-JL-10,成品入库卡,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/仓储组/成品入库卡.md,仓储组,"Document, Employee, InventoryMovement, Location, ProcessStep, Product, ProductionBatch, StockCount",仓储/库存,v3:成品入库
FG-quality-hold-disposition-01,GRSS-CC-JL-11,报废申请单,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/仓储组/报废申请单.md,仓储组,"CorrectiveAction, Document, Employee, NonConformance, Product, ProductionBatch",品质/检验,v3:待判隔离
FG-batch-inventory-movement-01,GRSS-CC-JL-12,车间易耗品库登记领用表,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/仓储组/车间易耗品库登记领用表.md,仓储组,"Document, Employee, InventoryMovement, Material, StockCount",仓储/库存,v3:库存流转
FG-quality-environment-01,GRSS-CC-JL-13,运输车辆清洁消毒记录表,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/仓储组/运输车辆清洁消毒记录表.md,仓储组,"CleaningRecord, Document, Employee",通用支撑,v3:环境卫生
FG-quality-product-inspection-01,GRSS-ZZ-JL-01,不合格品评审处置记录,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/制造部/不合格品评审处置记录.md,制造部,"Employee, Location, NonConformance, Product, ProductionBatch",品质/检验,v3:产品检验
FG-quality-environment-01,GRSS-ZZ-JL-02,工器具设施设备清洗消毒记录表,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/制造部/工器具设施设备清洗消毒记录表.md,制造部,"CleaningRecord, Employee, Equipment, Location, ProductionBatch",生产执行,v3:环境卫生
FG-batch-ingredient-usage-01,GRSS-ZZ-JL-03,工艺、配料变更、复称、评估、验证记录,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/制造部/工艺、配料变更、复称、评估、验证记录.md,制造部,"ChangeEvent, Employee, Material, Product, ProductionBatch",研发/变更,v3:投料桥接
FG-quality-process-monitoring-01,GRSS-ZZ-JL-04,带标签废弃物处理记录表,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/制造部/带标签废弃物处理记录表.md,制造部,"CorrectiveAction, Employee",通用支撑,v3:fallback 制造
FG-batch-inventory-movement-01,GRSS-ZZ-JL-05,废蛋糕出入库记录表,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/制造部/废蛋糕出入库记录表.md,制造部,"Employee, InventoryMovement",仓储/库存,v3:库存流转
FG-batch-ingredient-usage-01,GRSS-ZZ-JL-06,投料打料记录-坚果牛奶咸蛋糕,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/制造部/投料打料记录-坚果牛奶咸蛋糕.md,制造部,"CalibrationRecord, Employee, IngredientUsage, MeasuringEquipment, ProductionBatch",生产执行,v3:投料桥接
FG-batch-ingredient-usage-01,GRSS-ZZ-JL-07,投料打料记录-提拉米苏小蛋糕,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/制造部/投料打料记录-提拉米苏小蛋糕.md,制造部,"CalibrationRecord, Employee, IngredientUsage, MeasuringEquipment, ProductionBatch",生产执行,v3:投料桥接
FG-batch-ingredient-usage-01,GRSS-ZZ-JL-08,投料打料记录-椰丝,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/制造部/投料打料记录-椰丝.md,制造部,"CalibrationRecord, Employee, IngredientUsage, MeasuringEquipment, ProductionBatch",生产执行,v3:投料桥接
FG-batch-ingredient-usage-01,GRSS-ZZ-JL-09,投料打料记录-椰奶,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/制造部/投料打料记录-椰奶.md,制造部,"CalibrationRecord, Employee, IngredientUsage, MeasuringEquipment, ProductionBatch",生产执行,v3:投料桥接
FG-batch-ingredient-usage-01,GRSS-ZZ-JL-10,投料打料记录-老华侨蛋糕,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/制造部/投料打料记录-老华侨蛋糕.md,制造部,"CalibrationRecord, Employee, IngredientUsage, MeasuringEquipment, ProductionBatch",生产执行,v3:投料桥接
FG-batch-ingredient-usage-01,GRSS-ZZ-JL-11,投料打料记录-肉松,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/制造部/投料打料记录-肉松.md,制造部,"CalibrationRecord, Employee, IngredientUsage, MeasuringEquipment, ProductionBatch",生产执行,v3:投料桥接
FG-batch-ingredient-usage-01,GRSS-ZZ-JL-12,投料打料记录-肉松鸡蛋糕,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/制造部/投料打料记录-肉松鸡蛋糕.md,制造部,"CalibrationRecord, Employee, IngredientUsage, MeasuringEquipment, ProductionBatch",生产执行,v3:投料桥接
FG-batch-ingredient-usage-01,GRSS-ZZ-JL-13,投料打料记录-芝士咸蛋糕,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/制造部/投料打料记录-芝士咸蛋糕.md,制造部,"CalibrationRecord, Employee, IngredientUsage, MeasuringEquipment, ProductionBatch",生产执行,v3:投料桥接
FG-batch-ingredient-usage-01,GRSS-ZZ-JL-14,投料打料记录-钙奶棒,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/制造部/投料打料记录-钙奶棒.md,制造部,"CalibrationRecord, Employee, IngredientUsage, MeasuringEquipment, ProductionBatch",生产执行,v3:投料桥接
FG-batch-ingredient-usage-01,GRSS-ZZ-JL-15,投料打料记录-香蕉蒸蛋糕（原味）,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/制造部/投料打料记录-香蕉蒸蛋糕（原味）.md,制造部,"CalibrationRecord, Employee, IngredientUsage, MeasuringEquipment, ProductionBatch",生产执行,v3:投料桥接
FG-batch-ingredient-usage-01,GRSS-ZZ-JL-16,投料打料记录-香蕉蒸蛋糕（香蕉味）,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/制造部/投料打料记录-香蕉蒸蛋糕（香蕉味）.md,制造部,"CalibrationRecord, Employee, IngredientUsage, MeasuringEquipment, ProductionBatch",生产执行,v3:投料桥接
FG-batch-ingredient-usage-01,GRSS-ZZ-JL-17,投料打料记录-鸡蛋糕,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/制造部/投料打料记录-鸡蛋糕.md,制造部,"CalibrationRecord, Employee, IngredientUsage, MeasuringEquipment, ProductionBatch",生产执行,v3:投料桥接
FG-quality-process-monitoring-01,GRSS-ZZ-JL-18,报表领用记录登记表,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/制造部/报表领用记录登记表.md,制造部,Employee,通用支撑,v3:fallback 制造
FG-quality-environment-01,GRSS-ZZ-JL-19,日常清洁记录表（中段）,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/制造部/日常清洁记录表（中段）.md,制造部,"Employee, Location, ProductionBatch, 元数据",通用支撑,v3:环境卫生
FG-quality-environment-01,GRSS-ZZ-JL-20,日常清洁记录表（出炉间）,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/制造部/日常清洁记录表（出炉间）.md,制造部,"Employee, Location, ProductionBatch, 元数据",通用支撑,v3:环境卫生
FG-quality-environment-01,GRSS-ZZ-JL-21,日常清洁记录表（化学储藏间）,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/制造部/日常清洁记录表（化学储藏间）.md,制造部,"CleaningRecord, Employee, Location, ProductionBatch",生产执行,v3:环境卫生
FG-batch-ingredient-usage-01,GRSS-ZZ-JL-22,日常清洁记录表（小料房）,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/制造部/日常清洁记录表（小料房）.md,制造部,"Employee, Location, ProductionBatch, 元数据",通用支撑,v3:投料桥接
FG-batch-ingredient-usage-01,GRSS-ZZ-JL-23,日常清洁记录表（投料搅料间）,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/制造部/日常清洁记录表（投料搅料间）.md,制造部,"CleaningRecord, Employee, Location, ProductionBatch, 元数据",生产执行,v3:投料桥接
FG-quality-environment-01,GRSS-ZZ-JL-24,日常清洁记录表（晾桶间）,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/制造部/日常清洁记录表（晾桶间）.md,制造部,"Employee, Location, ProductionBatch, 元数据",通用支撑,v3:环境卫生
FG-quality-environment-01,GRSS-ZZ-JL-25,日常清洁记录表（果酱房）,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/制造部/日常清洁记录表（果酱房）.md,制造部,"Employee, Location, ProductionBatch, 元数据",通用支撑,v3:环境卫生
FG-quality-environment-01,GRSS-ZZ-JL-26,日常清洁记录表（烤蛋糕后段）,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/制造部/日常清洁记录表（烤蛋糕后段）.md,制造部,"CleaningRecord, Employee, Location, ProductionBatch, 元数据",生产执行,v3:环境卫生
FG-quality-environment-01,GRSS-ZZ-JL-27,日常清洁记录表（物料暂存间）,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/制造部/日常清洁记录表（物料暂存间）.md,制造部,"CleaningRecord, Employee, Location, ProductionBatch, 元数据",生产执行,v3:环境卫生
FG-batch-ingredient-usage-01,GRSS-ZZ-JL-28,日常清洁记录表（称油间）,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/制造部/日常清洁记录表（称油间）.md,制造部,"Employee, Location, ProductionBatch, 元数据",通用支撑,v3:投料桥接
FG-batch-ingredient-usage-01,GRSS-ZZ-JL-29,日常清洁记录表（筛粉间）,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/制造部/日常清洁记录表（筛粉间）.md,制造部,"Employee, Location, ProductionBatch, 元数据",通用支撑,v3:投料桥接
FG-quality-environment-01,GRSS-ZZ-JL-30,日常清洁记录表（蒸蛋糕后段）,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/制造部/日常清洁记录表（蒸蛋糕后段）.md,制造部,"CleaningRecord, Employee, Location, ProductionBatch, 元数据",生产执行,v3:环境卫生
FG-quality-environment-01,GRSS-ZZ-JL-31,日常清洁记录表（进炉间）,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/制造部/日常清洁记录表（进炉间）.md,制造部,"Employee, Location, ProductionBatch, 元数据",通用支撑,v3:环境卫生
FG-quality-environment-01,GRSS-ZZ-JL-32,日常清洁记录表（通用）,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/制造部/日常清洁记录表（通用）.md,制造部,"Employee, Location, ProductionBatch, 元数据",通用支撑,v3:环境卫生
FG-quality-environment-01,GRSS-ZZ-JL-33,日常清洁记录表（酒精房）,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/制造部/日常清洁记录表（酒精房）.md,制造部,"Employee, ProductionBatch, 元数据",通用支撑,v3:环境卫生
FG-quality-environment-01,GRSS-ZZ-JL-34,日常清洁记录表（鸡蛋房）,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/制造部/日常清洁记录表（鸡蛋房）.md,制造部,"Employee, Location, ProductionBatch, 元数据",通用支撑,v3:环境卫生
FG-batch-finished-goods-01,GRSS-ZZ-JL-35,果酱房半成品入库记录表,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/制造部/果酱房半成品入库记录表.md,制造部,"Employee, InventoryMovement, Location, MeasuringEquipment, Product, ProductionBatch",仓储/库存,v3:成品入库
FG-batch-ingredient-usage-01,GRSS-ZZ-JL-36,果酱房果酱投料打料过程记录表（原味）,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/制造部/果酱房果酱投料打料过程记录表（原味）.md,制造部,"CalibrationRecord, Employee, IngredientUsage, MeasuringEquipment, ProductionBatch",生产执行,v3:投料桥接
FG-batch-ingredient-usage-01,GRSS-ZZ-JL-37,果酱房果酱投料打料过程记录表（香蕉味）,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/制造部/果酱房果酱投料打料过程记录表（香蕉味）.md,制造部,"CalibrationRecord, Employee, IngredientUsage, MeasuringEquipment, ProductionBatch",生产执行,v3:投料桥接
FG-batch-inventory-movement-01,GRSS-ZZ-JL-38,每日库存盘点记录表,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/制造部/每日库存盘点记录表.md,制造部,"InventoryMovement, Location, Material, MaterialLot, ProductionBatch, StockCount",仓储/库存,v3:库存流转
FG-batch-production-01,GRSS-ZZ-JL-39,每日鸡蛋车间表,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/制造部/每日鸡蛋车间表.md,制造部,"Employee, IngredientUsage, InventoryMovement, Location, Material, MaterialLot, ProductionBatch, StockCount",生产执行,v3:生产批次
FG-quality-ccp-01,GRSS-ZZ-JL-40,烤炉过程记录表,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/制造部/烤炉过程记录表.md,制造部,"CCPRecord, ProcessStep, Product, ProductionBatch",生产执行,v3:CCP
FG-governance-audit-01,GRSS-ZZ-JL-41,烤蛋糕车间紫外线灯状态日常检查表,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/制造部/烤蛋糕车间紫外线灯状态日常检查表.md,制造部,"Employee, Equipment, Location, MaintenanceRecord, ProductionBatch",通用支撑,v3:审核检查
FG-governance-risk-assessment-01,GRSS-ZZ-JL-42,特殊材料使用风险评估及审批记录,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/制造部/特殊材料使用风险评估及审批记录.md,制造部,"Employee, HazardAssessment, IngredientUsage, Location, MaintenanceRecord, Material, MaterialLot, NonConformance, ProductionBatch",生产执行,v3:风险评估
FG-governance-audit-01,GRSS-ZZ-JL-43,玻璃及硬塑制品检查表,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/制造部/玻璃及硬塑制品检查表.md,制造部,"Employee, Location, NonConformance, ProductionBatch",品质/检验,v3:审核检查
FG-governance-audit-01,GRSS-ZZ-JL-44,班后检查表,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/制造部/班后检查表.md,制造部,"Employee, Equipment, ProductionBatch",通用支撑,v3:审核检查
FG-batch-production-01,GRSS-ZZ-JL-45,生产斗数记录表,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/制造部/生产斗数记录表.md,制造部,"Product, ProductionBatch",主数据/基础档案,v3:生产批次
FG-quality-process-monitoring-01,GRSS-ZZ-JL-46,生产清场记录表,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/制造部/生产清场记录表.md,制造部,"CorrectiveAction, Employee",通用支撑,v3:fallback 制造
FG-batch-production-01,GRSS-ZZ-JL-47,生产线换产启动前检查确认记录,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/制造部/生产线换产启动前检查确认记录.md,制造部,"ChangeEvent, CleaningRecord, Employee, Equipment, NonConformance, Product, ProductionBatch",研发/变更,v3:生产批次
FG-batch-production-01,GRSS-ZZ-JL-48,生产计划,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/制造部/生产计划.md,制造部,"Product, ProductionBatch",主数据/基础档案,v3:生产批次
FG-batch-ingredient-usage-01,GRSS-ZZ-JL-49,筛粉间排风口过滤布及电机更换记录表,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/制造部/筛粉间排风口过滤布及电机更换记录表.md,制造部,"ChangeEvent, Employee, Equipment, MaintenanceRecord",研发/变更,v3:投料桥接
FG-quality-environment-01,GRSS-ZZ-JL-50,筛网、过滤器清洁记录,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/制造部/筛网、过滤器清洁记录.md,制造部,"Employee, Location, ProductionBatch",通用支撑,v3:环境卫生
FG-quality-deviation-01,GRSS-ZZ-JL-51,纠正与整改记录,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/制造部/纠正与整改记录.md,制造部,"CorrectiveAction, Employee, Product, ProductionBatch",主数据/基础档案,v3:偏差
FG-quality-environment-01,GRSS-ZZ-JL-52,脚底清洁池消毒记录表,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/制造部/脚底清洁池消毒记录表.md,制造部,"Employee, Location, 元数据",通用支撑,v3:环境卫生
FG-quality-process-monitoring-01,GRSS-ZZ-JL-53,臭氧机启动关停与浓度记录表,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/制造部/臭氧机启动关停与浓度记录表.md,制造部,"CalibrationRecord, Employee, Location, MaintenanceRecord",通用支撑,v3:fallback 制造
FG-batch-production-01,GRSS-ZZ-JL-54,蒸炉过程记录表,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/制造部/蒸炉过程记录表.md,制造部,"Product, ProductionBatch",主数据/基础档案,v3:生产批次
FG-batch-production-01,GRSS-ZZ-JL-55,蒸蛋糕-面浆打发成型记录表,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/制造部/蒸蛋糕-面浆打发成型记录表.md,制造部,"CCPRecord, CalibrationRecord, Employee, IngredientUsage, Material, MaterialLot, MeasuringEquipment, Product, ProductionBatch",生产执行,v3:生产批次
FG-governance-audit-01,GRSS-ZZ-JL-56,蒸蛋糕车间紫外线灯状态日常检查表,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/制造部/蒸蛋糕车间紫外线灯状态日常检查表.md,制造部,"Employee, Equipment, Location, MaintenanceRecord, ProductionBatch",通用支撑,v3:审核检查
FG-batch-production-01,GRSS-ZZ-JL-57,蛋糕包装机用膜跟进记录表,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/制造部/蛋糕包装机用膜跟进记录表.md,制造部,"CalibrationRecord, Employee, Equipment, Location, MeasuringEquipment, NonConformance, PackagingMaterialUsage, Product, ProductionBatch",品质/检验,v3:entity ProductionBatch
FG-process-version-01,GRSS-ZZ-JL-58,计量器具内部校正记录表,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/制造部/计量器具内部校正记录表.md,制造部,ChangeEvent,研发/变更,v3:研发版本
FG-batch-production-01,GRSS-ZZ-JL-59,车间人员一次性物品领用使用记录表,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/制造部/车间人员一次性物品领用使用记录表.md,制造部,"Employee, IngredientUsage, Location, Material, NonConformance, ProductionBatch",生产执行,v3:entity ProductionBatch
FG-batch-production-01,GRSS-ZZ-JL-60,车间人员用药登记表,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/制造部/车间人员用药登记表.md,制造部,"Employee, Location, ProductionBatch",通用支撑,v3:entity ProductionBatch
FG-quality-environment-01,GRSS-ZZ-JL-61,车间内包膜间消毒记录表,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/制造部/车间内包膜间消毒记录表.md,制造部,"Employee, Location, ProductionBatch",通用支撑,v3:环境卫生
FG-quality-calibration-lab-01,GRSS-ZZ-JL-62,车间冰柜温控记录表,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/制造部/车间冰柜温控记录表.md,制造部,"Employee, Location, MeasuringEquipment, 元数据",通用支撑,v3:校准化验
FG-process-parameter-spec-01,GRSS-ZZ-JL-63,车间参数配方修改记录表,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/制造部/车间参数配方修改记录表.md,制造部,ChangeEvent,研发/变更,v3:工艺参数标准
FG-quality-deviation-01,GRSS-ZZ-JL-64,车间员工违规处理表,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/制造部/车间员工违规处理表.md,制造部,"CorrectiveAction, Employee, NonConformance, ProductionBatch",品质/检验,v3:偏差
FG-batch-inventory-movement-01,GRSS-ZZ-JL-65,车间废纸托登记记录表,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/制造部/车间废纸托登记记录表.md,制造部,"Employee, InventoryMovement",仓储/库存,v3:库存流转
FG-batch-finished-goods-01,GRSS-ZZ-JL-66,车间成品产出入库表,/Users/jiashenglin/Desktop/mybrain/文件管理体系/当前公司/04-记录表单/制造部/车间成品产出入库表.md,制造部,"Employee, InventoryMovement, Location, MeasuringEquipment, Product, ProductionBatch",仓储/库存,v3:成品入库
